Date,Description,Category,Cost,Currency,Alice,Bob,Charlie,Diana
2024-05-18,Massage therapy,Health,120.00,EUR,30.00,30.00,-90.00,30.00
2024-05-20,Weekly groceries,Groceries,1680000,VND,-560000,560000,560000,-560000
2024-05-22,Japanese restaurant,Food,210.00,USD,-70.00,70.00,70.00,-70.00
2024-05-25,Electric bill May,Utilities,125.00,EUR,31.25,31.25,31.25,-93.75
2024-05-28,Charlie paid Diana,Payment,120.00,USD,0.00,0.00,-120.00,120.00
2024-05-30,Memorial weekend BBQ,Food,285.00,EUR,71.25,71.25,71.25,-213.75
2024-06-01,June rent share,Rent,850.00,EUR,0.00,283.33,283.33,-566.67
2024-06-05,Summer clothes shopping,Shopping,5200000,VND,1300000,-3900000,1300000,1300000
2024-06-08,Pool party,Entertainment,145.00,USD,36.25,36.25,36.25,-108.75
2024-06-10,Health checkup,Health,280.00,EUR,70.00,70.00,-210.00,70.00
2024-06-29,Bob paid Alice,Payment,95.00,EUR,95.00,-95.00,0.00,0.00
2024-06-15,Father's Day gifts,Shopping,195.00,USD,48.75,48.75,-146.25,48.75
2024-06-18,Air conditioning repair,Utilities,3800000,VND,-1266667,1266667,1266667,-1266667
2024-06-20,Peak summer dinner,Food,420.00,EUR,105.00,105.00,105.00,-315.00
2024-06-20,Rooftop bar,Entertainment,8900000,VND,2225000,2225000,-6675000,2225000
2024-06-20,Late night snacks,Food,85.00,USD,21.25,21.25,21.25,-63.75
2024-06-22,Weekend trip train,Transportation,165.00,EUR,-55.00,55.00,55.00,-55.00
2024-06-25,Grocery run,Groceries,98.50,USD,55.03,0.00,-42.69,-12.34
2024-06-28,Internet bill June,Utilities,45.00,EUR,15.00,15.00,-30.00,0.00
2024-06-30,End of Q2 celebration,Food,5500000,VND,1375000,1375000,1375000,-4125000
